carrera,piloto,equipo,puntos
Australia,Albon,Williams,0
Australia,Alonso,Aston Martin,0
Australia,Antonelli,Mercedes,18
Australia,Bearman,Haas,6
Australia,Bortoleto,Audi,2
Australia,Bottas,Cadillac,0
Australia,Colapinto,Alpine,0
Australia,Gasly,Alpine,1
Australia,Hadjar,rRed Bull,0
Australia,Hamilton,Ferrari,12
Australia,Hulkenberg,Audi,0
Australia,Lawson,Rb,0
Australia,Leclerc,Ferrari,15
Australia,Norris,Mclaren,10
Australia,Ocon,Haas,0
Australia,Perez,Cadillac,0
Australia,Piastri,Mclaren,0
Australia,Russell,Mercedes,25
Australia,Sainz,Willians,0
Australia,Stroll,Aston Martin,0
Australia,Verstappen,Red Bull,8
China,Albon,Williams,0
China,Alonso,Aston Martin,0
China,Antonelli,Mercedes,25
China,Bearman,Haas,10
China,Bortoleto,Audi,0
China,Bottas,Cadillac,0
China,Colapinto,Alpine,1
China,Gasly,Alpine,8
China,Hadjar,rRed Bull,4
China,Hulkenberg,Audi,0
China,Lawson,Rb,6
China,Ocon,Haas,0
China,Perez,Cadillac,0
China,Piastri,Mclaren,0
China,Russell,Mercedes,18
China,Sainz,Willians,2
China,Stroll,Aston Martin,0
China,Verstappen,Red Bull,0
Japon,Albon,Williams,0
Japon,Alonso,Aston Martin,0
Japon,Antonelli,Mercedes,25
Japon,Bearman,Haas,0
Japon,Bortoleto,Audi,0
Japon,Bottas,Cadillac,0
Japon,Colapinto,Alpine,0
Japon,Gasly,Alpine,6
Japon,Hadjar,rRed Bull,0
Japon,Hamilton,Ferrari,8
Japon,Hulkenberg,Audi,0
Japon,Lawson,Rb,2
Japon,Leclerc,Ferrari,15
Japon,Norris,Mclaren,10
Japon,Ocon,Haas,1
Japon,Perez,Cadillac,0
Japon,Piastri,Mclaren,18
Japon,Russell,Mercedes,12
Japon,Sainz,Willians,0
Japon,Stroll,Aston Martin,0
Japon,Verstappen,Red Bull,4
china,Hamilton,Ferrari,15
china,Leclerc,Ferrari,12
china,Norris,Mclaren,0
